CRN,URL,Course,Title,Instructors,Course Meeting,Credits
16992,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16992,AAAS 204,BLACK ART IN AMERICA,"Young, Olivia",1:00PM - 3:29PM R  ,3
17066,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=17066,AAAS 245,"RACE, RESISTANCE, & REVOLUTION","Bryant, Sherwin",4:00PM - 5:15PM MW  ,3
17088,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=17088,AAAS 510,INTRO TO DIASPORIC STUDIES,"Osei-Opare, Nana",4:00PM - 6:30PM T  ,3
12847,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=12847,AAAS 600,AF & AFAM STUDIES COLLOQUIUM,"Fleisher, Jeffrey", ,0
10304,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=10304,AFSC 101,FOUNDATION OF THE USAF I,,"12:00PM - 12:50PM W  
2:30PM - 4:30PM W  ",2
11113,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=11113,AFSC 101,FOUNDATION OF THE USAF I,,"8:00AM - 9:00AM T  
2:30PM - 4:30PM W  ",2
10305,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=10305,AFSC 201,EVOLUTION OF AIR POWER I,,"1:00PM - 1:50PM W  
2:30PM - 4:30PM W  ",2
10307,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=10307,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"8:00AM - 11:00AM W  
2:30PM - 4:30PM W  ",3
10308,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=10308,AFSC 401,NATIONAL SECURITY AFFAIRS I,,"10:00AM - 1:00PM W  
2:30PM - 4:30PM W  ",3
15814,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=15814,AMCI 400,AMC HONORS THESIS,"Somerville, Ted", ,3
12948,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=12948,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Crouch, Caroline",9:25AM - 10:40AM TR  ,3
16667,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16667,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Lu, Vivian",10:50AM - 12:05PM TR  ,3
12254,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=12254,ANTH 203,INTRO BIOLOGICAL ANTHROPOLOGY,"Dominguez Rodrigo, Manuel",1:00PM - 2:15PM TR  ,3
16934,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16934,ANTH 205,INTRO TO ARCHAEOLOGY,,4:00PM - 5:15PM MW  ,3
16971,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16971,ANTH 250,PLAGUES AND PEOPLE,"Gershon, Ilana",2:00PM - 3:15PM MW  ,3
16972,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16972,ANTH 306,ILLNESS NARRATIVES,"Massie, Victoria",1:00PM - 3:30PM R  ,3
10414,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=10414,ANTH 324,DOCUMENTARY PRODUCTION,"Huberman, Brian",2:30PM - 5:30PM R  ,3
15234,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=15234,ANTH 340,NEOLIBERALISM & GLOBALIZATION,"Boyer, Dominic C.",12:00PM - 2:30PM W  ,3
16668,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16668,ANTH 341,MUSEUMS AND HERITAGE,"Prendergast, Mary; Lopez Duran, Maria Fabiola",2:30PM - 5:00PM R  ,3
13898,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=13898,ANTH 344,CITY/CULTURE,"Gunel, Gokce",4:00PM - 6:30PM T  ,3
16670,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16670,ANTH 352,PEOPLE AND ANIMALS IN THE PAST,"Prendergast, Mary",9:25AM - 10:40AM TR  ,3
16672,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16672,ANTH 363,ARCHAEOLOGY CITIES AND STATE,"Morgan, Molly",2:00PM - 3:15PM WF  ,3
16973,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16973,ANTH 368,SOCIAL DESIGN STUDIO,"Boyer, Dominic C.",4:00PM - 6:30PM R  ,3
16985,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16985,ANTH 377,SOUTH ASIAN ECOLOGIES,"Visweswaran, Kamala",1:00PM - 3:30PM T  ,3
16674,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=16674,ANTH 389,ARCHAEOLOGY OF FOOD,"Morgan, Molly",4:00PM - 6:30PM W  ,3
13905,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=13905,ANTH 404,INDEPENDENT STUDY,"Massie, Victoria", ,1 TO 9
13906,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=13906,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", ,1 TO 9
12141,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=12141,ANTH 404,INDEPENDENT STUDY,"Howe, Cymene", ,1 TO 9
13907,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=13907,ANTH 404,INDEPENDENT STUDY,"Estrella, Amarilys", ,1 TO 9
13908,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=13908,ANTH 404,INDEPENDENT STUDY,"Visweswaran, Kamala", ,1 TO 9
12142,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=12142,ANTH 404,INDEPENDENT STUDY,"Boyer, Dominic C.", ,1 TO 9
15241,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=15241,ANTH 404,INDEPENDENT STUDY,"Gershon, Ilana", ,1 TO 9
10229,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=10229,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey", ,1 TO 9
12639,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=12639,ANTH 404,INDEPENDENT STUDY,"Morgan, Molly", ,1 TO 9
12143,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202510&p_crn=12143,ANTH 404,INDEPENDENT STUDY,"Gunel, Gokce", ,1 TO 9
