CRN,URL,Course,Title,Instructors,Course Meeting,Credits
24754,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24754,AAAS 200,INTRO TO AAAS,"Estrella, Amarilys",10:50AM - 12:05PM TR  ,3
22742,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22742,AAAS 600,AF & AFAM STUDIES COLLOQUIUM,"Bryant, Sherwin", ,0
20330,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20330,AFSC 102,FOUNDATION OF THE USAF II,,"8:00AM - 8:59AM T  
2:30PM - 4:20PM W  ",2
20331,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20331,AFSC 102,FOUNDATION OF THE USAF II,,"12:00PM - 12:50PM W  
2:30PM - 4:20PM W  ",2
20332,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20332,AFSC 202,EVOLUTION OF AIR POWER II,,"9:00AM - 9:59AM T  
2:30PM - 4:20PM W  ",2
20333,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20333,AFSC 202,EVOLUTION OF AIR POWER II,,"1:00PM - 1:50PM W  
2:30PM - 4:20PM W  ",2
20337,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20337,AFSC 302,AIR FORCE LEADERSHIP STUDY II,,"8:00AM - 10:59AM W  
2:30PM - 4:20PM W  ",3
20219,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20219,AFSC 402,NATIONAL SECURITY AFFAIRS II,,"10:00AM - 12:50PM W  
2:30PM - 4:20PM W  ",3
25652,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=25652,AMCI 400,AMC HONORS THESIS,"McGill, Scott", ,3
23929,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23929,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Englebretson, Robert",9:25AM - 10:40AM TR  ,3
25457,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=25457,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Gyal, Huatse",2:00PM - 3:15PM MW  ,3
24056,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24056,ANTH 302,ANTHROPOLOGICAL THEORY,"Kim, Dodom",1:00PM - 3:30PM R  ,3
24921,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24921,ANTH 318,CERAMICS AND SOCIETY,"Morgan, Molly",1:00PM - 2:15PM TR  ,3
24923,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24923,ANTH 345,ARCHAEOLOGY IN SOCIAL CONTEXT,"Prendergast, Mary",1:00PM - 3:30PM W  ,3
24925,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24925,ANTH 355,"SPACE, PLACE, LANDSCAPE","Morgan, Molly",10:50AM - 12:05PM TR  ,3
23248,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23248,ANTH 404,INDEPENDENT STUDY,"Massie, Victoria", ,1 TO 9
23249,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23249,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", ,1 TO 9
23247,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23247,ANTH 404,INDEPENDENT STUDY,"Estrella, Amarilys", ,1 TO 9
24063,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24063,ANTH 404,INDEPENDENT STUDY,"Gyal, Huatse", ,1 TO 9
23250,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23250,ANTH 404,INDEPENDENT STUDY,"Visweswaran, Kamala", ,1 TO 9
22381,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22381,ANTH 404,INDEPENDENT STUDY,"Boyer, Dominic C.", ,1 TO 9
20321,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20321,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey", ,1 TO 9
22382,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22382,ANTH 404,INDEPENDENT STUDY,"Morgan, Molly", ,1 TO 9
22383,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22383,ANTH 404,INDEPENDENT STUDY,"Gunel, Gokce", ,1 TO 9
22384,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22384,ANTH 404,INDEPENDENT STUDY,"Prendergast, Mary", ,1 TO 9
25527,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=25527,ANTH 422,INFRASTRUCTURES AND POWER,"Gunel, Gokce",4:00PM - 6:30PM T  ,3
24065,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24065,ANTH 450,INTERNATIONAL RSCH EXPERIENCE,"Georges, Eugenia; Quinn, Timothy",7:00PM - 9:30PM T  ,3
25454,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=25454,ANTH 462,BLACK ANTHROPOLOGY,"Massie, Victoria",1:00PM - 3:30PM T  ,3
25455,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=25455,ANTH 464,ZOMBIES AND GHOSTS,"Estrella, Amarilys",1:00PM - 3:30PM F  ,3
23252,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23252,ANTH 491,DIRECTED HONORS RESEARCH,"Massie, Victoria", ,3
23253,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23253,ANTH 491,DIRECTED HONORS RESEARCH,"Georges, Eugenia", ,3
23251,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23251,ANTH 491,DIRECTED HONORS RESEARCH,"Estrella, Amarilys", ,3
24068,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24068,ANTH 491,DIRECTED HONORS RESEARCH,"Gyal, Huatse", ,3
23254,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23254,ANTH 491,DIRECTED HONORS RESEARCH,"Visweswaran, Kamala", ,3
22386,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22386,ANTH 491,DIRECTED HONORS RESEARCH,"Boyer, Dominic C.", ,3
20322,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20322,ANTH 491,DIRECTED HONORS RESEARCH,"Fleisher, Jeffrey", ,3
22387,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22387,ANTH 491,DIRECTED HONORS RESEARCH,"Morgan, Molly", ,3
22388,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22388,ANTH 491,DIRECTED HONORS RESEARCH,"Gunel, Gokce", ,3
22389,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22389,ANTH 491,DIRECTED HONORS RESEARCH,"Prendergast, Mary", ,3
23257,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23257,ANTH 495,ANTHROPOLOGY CAPSTONE,"Massie, Victoria", ,3
22690,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22690,ANTH 495,ANTHROPOLOGY CAPSTONE,"Georges, Eugenia", ,3
23258,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23258,ANTH 495,ANTHROPOLOGY CAPSTONE,"Estrella, Amarilys", ,3
24070,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24070,ANTH 495,ANTHROPOLOGY CAPSTONE,"Gyal, Huatse", ,3
22747,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22747,ANTH 495,ANTHROPOLOGY CAPSTONE,"Visweswaran, Kamala", ,3
22691,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22691,ANTH 495,ANTHROPOLOGY CAPSTONE,"Boyer, Dominic C.", ,3
24071,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24071,ANTH 495,ANTHROPOLOGY CAPSTONE,"Gershon, Ilana", ,3
20422,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20422,ANTH 495,ANTHROPOLOGY CAPSTONE,"Fleisher, Jeffrey", ,3
21787,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=21787,ANTH 495,ANTHROPOLOGY CAPSTONE,"Morgan, Molly", ,3
22391,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22391,ANTH 495,ANTHROPOLOGY CAPSTONE,"Gunel, Gokce", ,3
23259,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23259,ANTH 495,ANTHROPOLOGY CAPSTONE,"Prendergast, Mary", ,3
24927,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24927,ANTH 507,ANTHRO FROM 2ND WW-PRESENT,"Howe, Cymene",4:00PM - 6:30PM R  ,3
24922,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24922,ANTH 518,CERAMICS AND SOCIETY,"Morgan, Molly",1:00PM - 2:15PM TR  ,3
24924,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24924,ANTH 545,ARCHAEOLOGY IN SOCIAL CONTEXT,"Prendergast, Mary",1:00PM - 3:30PM W  ,3
24926,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24926,ANTH 555,"SPACE, PLACE, AND LANDSCAPE","Morgan, Molly",10:50AM - 12:05PM TR  ,3
23260,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23260,ANTH 600,INDEPENDENT STUDY,"Massie, Victoria", ,1 TO 9
23261,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=23261,ANTH 600,INDEPENDENT STUDY,"Georges, Eugenia", ,1 TO 9
22393,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22393,ANTH 600,INDEPENDENT STUDY,"Howe, Cymene", ,1 TO 9
22799,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22799,ANTH 600,INDEPENDENT STUDY,"Estrella, Amarilys", ,1 TO 9
24072,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24072,ANTH 600,INDEPENDENT STUDY,"Gyal, Huatse", ,1 TO 9
20672,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20672,ANTH 600,INDEPENDENT STUDY,"Visweswaran, Kamala", ,1 TO 9
22394,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22394,ANTH 600,INDEPENDENT STUDY,"Boyer, Dominic C.", ,1 TO 9
24073,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24073,ANTH 600,INDEPENDENT STUDY,"Gershon, Ilana", ,1 TO 9
20673,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20673,ANTH 600,INDEPENDENT STUDY,"Fleisher, Jeffrey", ,1 TO 9
22395,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22395,ANTH 600,INDEPENDENT STUDY,"Gunel, Gokce", ,1 TO 9
22396,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=22396,ANTH 600,INDEPENDENT STUDY,"Prendergast, Mary", ,1 TO 9
24139,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24139,ANTH 602,PROPOSAL WRITING SEMINAR,"Georges, Eugenia",2:00PM - 4:30PM W  ,3
24928,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24928,ANTH 622,INFRASTRUCTURES AND POWER,"Gunel, Gokce",4:00PM - 6:30PM T  ,3
24720,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=24720,ANTH 650,PEDAGOGY,"Gyal, Huatse", ,3
25462,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=25462,ANTH 662,BLACK ANTHROPOLOGY,"Massie, Victoria",1:00PM - 3:30PM T  ,3
25463,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=25463,ANTH 664,ZOMBIES AND GHOSTS,"Estrella, Amarilys",1:00PM - 3:30PM F  ,3
20853,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20853,ANTH 800,RESEARCH AND THESIS,"Massie, Victoria", ,3 TO 9
20855,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202420&p_crn=20855,ANTH 800,RESEARCH AND THESIS,"Georges, Eugenia", ,3 TO 9
