CRN,URL,Course,Title,Instructors,Course Meeting,Credits
31432,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31432,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Crouch, Caroline",10:30AM - 12:05PM TWRF  ,3
31601,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31601,ANTH 200,INTRO TO STUDY OF LANGUAGE,"McCleary, Bryce",10:30AM - 12:10PM MTWR  ,3
31406,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31406,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Baumgardt, Laurin",9:30AM - 12:25PM TR  ,3
31239,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31239,ANTH 203,INTRO BIOLOGICAL ANTHROPOLOGY,"Morgan, Molly",7:00PM - 9:45PM TR  ,3
31461,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31461,ANTH 309,GLOBAL CULTURES,"Georges, Eugenia",1:00PM - 4:00PM MTWRF  ,3
31667,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31667,ANTH 323,AFRICAN SAVANNA ECOLOGY,"Solomon, Scott; Dominguez Rodrigo, Manuel", ,2
31405,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31405,ANTH 344,CITY/CULTURE,"Ford, Melanie",10:00AM - 11:55AM MWF  ,3
31404,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=31404,ANTH 348,ANTHROPOLOGIES OF NATURE,"Haspolat, Gizem",10:00AM - 12:00PM TWR  ,3
30220,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30220,ANTH 800,RESEARCH AND THESIS,"Georges, Eugenia", ,3 TO 9
30104,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30104,ANTH 800,RESEARCH AND THESIS,"Howe, Cymene", ,3 TO 9
30596,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30596,ANTH 800,RESEARCH AND THESIS,"Visweswaran, Kamala", ,3 TO 9
30221,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30221,ANTH 800,RESEARCH AND THESIS,"Boyer, Dominic C.", ,3 TO 9
30597,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30597,ANTH 800,RESEARCH AND THESIS,"Fleisher, Jeffrey", ,3 TO 9
30767,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30767,ANTH 800,RESEARCH AND THESIS,"Gunel, Gokce", ,3 TO 9
30850,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30850,ANTH 800,RESEARCH AND THESIS,"Prendergast, Mary", ,3 TO 9
30436,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30436,APPL 490,UNDERGRAD SUMMER RESEARCH-REU,"Pimpinelli, Alberto", ,1 TO 6
30052,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30052,APPL 800,RESEARCH AND THESIS,"Tkaczyk, Tomasz", ,1 TO 15
30053,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30053,APPL 800,RESEARCH AND THESIS,"Kemere, Caleb", ,1 TO 15
30054,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30054,APPL 800,RESEARCH AND THESIS,"Nevidomskyy, Andriy", ,1 TO 15
30055,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30055,APPL 800,RESEARCH AND THESIS,"Raphael, Rob", ,1 TO 15
30056,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30056,APPL 800,RESEARCH AND THESIS,"Grande-Allen, K. Jane", ,1 TO 15
30057,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202430&p_crn=30057,APPL 800,RESEARCH AND THESIS,"Patel, Tirthak", ,1 TO 15
